# harness=1293dfc0 engine=4c9a5b36 mode=renderer-stepped camera=orbit runs=3 frames=300
scene	config	run	mode	camera	wall_fps	wall_ms	fence_ms	brd_ms	gpu_main	gpu_svgf	gpu_composite	gpu_ssao	gpu_volumetrics	gpu_upscale	gpu_presentation	gpu_bloom	sim_time_s	entities	draws	lights	tlas	state_hash	gpu_inactive
whiterun	fsr-performance	1	renderer-stepped	orbit	144.0	6.95	3.93	0.37	8.068	0.131	0.016	0.020	0.345	0.154	0.013	0.030	5.000010	5765	1260/239b/12c	18	1235	d39f37b2efd8c3b4	taa,skin_palette
whiterun	fsr-performance	2	renderer-stepped	orbit	142.6	7.01	4.11	0.37	7.887	0.473	0.016	0.020	0.322	0.160	0.013	0.035	5.000010	5765	1260/239b/12c	18	1235	d39f37b2efd8c3b4	taa,skin_palette
whiterun	fsr-performance	3	renderer-stepped	orbit	142.4	7.02	3.84	0.38	7.669	0.132	0.016	0.020	0.324	0.157	0.013	0.029	5.000010	5765	1260/239b/12c	18	1235	d39f37b2efd8c3b4	taa,skin_palette
medtek	taa	1	renderer-stepped	orbit	26.6	37.64	16.12	3.58	34.984	0.338	0.041	0.053	2.179	0.013	0.011	0.040	5.000010	39537	13545/1281b/29c	286	13038	5ccb942d6ac99d27	skin_palette
medtek	taa	2	renderer-stepped	orbit	26.9	37.21	16.01	3.65	35.941	0.338	0.040	0.053	1.937	0.013	0.012	0.040	5.000010	39537	13545/1281b/29c	286	13038	5ccb942d6ac99d27	skin_palette
medtek	taa	3	renderer-stepped	orbit	25.9	38.65	17.06	3.73	36.641	0.339	0.039	0.053	1.854	0.013	0.011	0.040	5.000010	39537	13545/1281b/29c	286	13038	5ccb942d6ac99d27	skin_palette
medtek	fsr-native-aa	1	renderer-stepped	orbit	25.4	39.37	17.93	3.65	36.575	0.338	0.044	0.053	2.206	0.225	0.015	0.040	5.000010	39537	13545/1281b/29c	286	13038	5ccb942d6ac99d27	taa,skin_palette
medtek	fsr-native-aa	2	renderer-stepped	orbit	25.6	39.04	18.24	3.67	35.801	0.337	0.045	0.053	1.861	0.227	0.014	0.039	5.000010	39537	13545/1281b/29c	286	13038	5ccb942d6ac99d27	taa,skin_palette
medtek	fsr-native-aa	3	renderer-stepped	orbit	25.7	38.93	18.47	3.51	36.358	0.338	0.046	0.053	2.233	0.225	0.014	0.040	5.000010	39537	13545/1281b/29c	286	13038	5ccb942d6ac99d27	taa,skin_palette
medtek	fsr-quality	1	renderer-stepped	orbit	46.4	21.53	0.73	3.75	17.516	0.170	0.023	0.028	1.198	0.173	0.014	0.038	5.000010	39537	13545/1281b/29c	286	13038	5ccb942d6ac99d27	taa,skin_palette
medtek	fsr-quality	2	renderer-stepped	orbit	45.3	22.08	0.78	3.78	17.818	0.197	0.024	0.028	1.270	0.171	0.014	0.033	5.000010	39537	13545/1281b/29c	286	13038	5ccb942d6ac99d27	taa,skin_palette
medtek	fsr-quality	3	renderer-stepped	orbit	45.1	22.19	0.36	3.77	18.299	0.169	0.024	0.027	0.750	0.177	0.014	0.036	5.000010	39537	13545/1281b/29c	286	13038	5ccb942d6ac99d27	taa,skin_palette
medtek	fsr-balanced	1	renderer-stepped	orbit	46.1	21.71	0.13	3.83	16.200	0.137	0.224	0.024	0.587	0.170	0.014	0.040	5.000010	39537	13545/1281b/29c	286	13038	5ccb942d6ac99d27	taa,skin_palette
medtek	fsr-balanced	2	renderer-stepped	orbit	45.7	21.86	0.28	3.76	13.667	0.137	0.019	0.023	0.564	0.167	0.012	0.035	5.000010	39537	13545/1281b/29c	286	13038	5ccb942d6ac99d27	taa,skin_palette
medtek	fsr-balanced	3	renderer-stepped	orbit	47.3	21.12	0.37	3.60	14.192	0.137	0.018	0.024	0.569	0.191	0.013	0.032	5.000010	39537	13545/1281b/29c	286	13038	5ccb942d6ac99d27	taa,skin_palette
medtek	fsr-performance	1	renderer-stepped	orbit	46.7	21.40	0.41	3.70	10.550	0.108	0.015	0.018	0.453	0.160	0.013	0.035	5.000010	39537	13545/1281b/29c	286	13038	5ccb942d6ac99d27	taa,skin_palette
medtek	fsr-performance	2	renderer-stepped	orbit	47.3	21.14	0.38	3.75	10.875	0.106	0.016	0.018	0.447	0.444	0.014	0.036	5.000010	39537	13545/1281b/29c	286	13038	5ccb942d6ac99d27	taa,skin_palette
medtek	fsr-performance	3	renderer-stepped	orbit	47.3	21.13	0.19	3.71	11.154	0.106	0.016	0.018	0.453	0.278	0.014	0.035	5.000010	39537	13545/1281b/29c	286	13038	5ccb942d6ac99d27	taa,skin_palette
dugout	taa	1	renderer-stepped	orbit	90.0	11.12	4.13	0.61	13.271	0.303	0.036	0.048	0.362	0.013	0.011	0.040	5.000010	11592	1935/326b/12c	156	1818	6bf7f68b4cc5d993	skin_palette
dugout	taa	2	renderer-stepped	orbit	90.0	11.12	4.72	0.61	13.947	0.305	0.036	0.075	0.358	0.013	0.011	0.039	5.000010	11592	1935/326b/12c	156	1818	6bf7f68b4cc5d993	skin_palette
dugout	taa	3	renderer-stepped	orbit	95.8	10.44	3.69	0.64	4.970	0.485	0.036	0.047	0.309	0.013	0.011	0.039	5.000010	11592	1935/326b/12c	156	1818	6bf7f68b4cc5d993	skin_palette
dugout	fsr-native-aa	1	renderer-stepped	orbit	88.3	11.32	4.39	0.62	4.861	0.490	0.038	0.048	0.314	0.218	0.013	0.039	5.000010	11592	1935/326b/12c	156	1818	6bf7f68b4cc5d993	taa,skin_palette
dugout	fsr-native-aa	2	renderer-stepped	orbit	90.2	11.08	4.58	0.61	4.903	0.300	0.037	0.048	0.318	0.216	0.013	0.042	5.000010	11592	1935/326b/12c	156	1818	6bf7f68b4cc5d993	taa,skin_palette
dugout	fsr-native-aa	3	renderer-stepped	orbit	87.7	11.40	4.85	0.62	13.822	0.342	0.038	0.052	0.368	0.367	0.014	0.039	5.000010	11592	1935/326b/12c	156	1818	6bf7f68b4cc5d993	taa,skin_palette
dugout	fsr-quality	1	renderer-stepped	orbit	104.7	9.55	2.27	0.68	8.857	0.151	0.020	0.026	0.204	0.168	0.012	0.032	5.000010	11592	1935/326b/12c	156	1818	6bf7f68b4cc5d993	taa,skin_palette
dugout	fsr-quality	2	renderer-stepped	orbit	106.9	9.36	2.59	0.63	8.514	0.153	0.020	0.030	0.204	0.172	0.012	0.034	5.000010	11592	1935/326b/12c	156	1818	6bf7f68b4cc5d993	taa,skin_palette
dugout	fsr-quality	3	renderer-stepped	orbit	104.2	9.59	2.94	0.61	8.949	0.151	0.020	0.030	0.220	0.174	0.012	0.037	5.000010	11592	1935/326b/12c	156	1818	6bf7f68b4cc5d993	taa,skin_palette
dugout	fsr-balanced	1	renderer-stepped	orbit	121.0	8.27	1.39	0.65	7.284	0.125	0.016	0.026	0.171	0.160	0.013	0.031	5.000010	11592	1935/326b/12c	156	1818	6bf7f68b4cc5d993	taa,skin_palette
dugout	fsr-balanced	2	renderer-stepped	orbit	124.5	8.03	1.65	0.62	6.791	0.124	0.017	0.023	0.171	0.158	0.013	0.032	5.000010	11592	1935/326b/12c	156	1818	6bf7f68b4cc5d993	taa,skin_palette
dugout	fsr-balanced	3	renderer-stepped	orbit	133.4	7.50	1.41	0.61	6.568	0.125	0.016	0.026	0.171	0.167	0.013	0.031	5.000010	11592	1935/326b/12c	156	1818	6bf7f68b4cc5d993	taa,skin_palette
dugout	fsr-performance	1	renderer-stepped	orbit	160.8	6.22	0.56	0.60	4.262	0.101	0.013	0.018	0.136	0.151	0.013	0.029	5.000010	11592	1935/326b/12c	156	1818	6bf7f68b4cc5d993	taa,skin_palette
dugout	fsr-performance	2	renderer-stepped	orbit	171.3	5.84	0.54	0.58	3.785	0.097	0.014	0.022	0.132	0.148	0.013	0.030	5.000010	11592	1935/326b/12c	156	1818	6bf7f68b4cc5d993	taa,skin_palette
dugout	fsr-performance	3	renderer-stepped	orbit	147.2	6.79	0.52	0.62	4.235	0.247	0.014	0.017	0.133	0.147	0.013	0.029	5.000010	11592	1935/326b/12c	156	1818	6bf7f68b4cc5d993	taa,skin_palette
