# harness=1293dfc0e engine=cb44d99f6 mode=renderer-stepped camera=orbit runs=3 frames=300
scene	config	run	mode	camera	wall_fps	wall_ms	fence_ms	brd_ms	gpu_main	gpu_svgf	gpu_composite	gpu_ssao	gpu_volumetrics	gpu_upscale	gpu_presentation	gpu_bloom	sim_time_s	entities	draws	lights	tlas	state_hash	gpu_inactive
dugout	taa	1	renderer-stepped	orbit	83.8	11.93	2.81	0.60	16.213	0.694	0.042	0.049	0.375	0.014	0.013	0.040	5.000010	11603	1935/326b/12c	156	1818	2df7e06e42ebdece	groundcover_scatter
dugout	taa	2	renderer-stepped	orbit	85.4	11.72	2.87	0.58	5.309	0.606	0.041	0.054	0.324	0.013	0.013	0.039	5.000010	11603	1935/326b/12c	156	1818	2df7e06e42ebdece	groundcover_scatter
dugout	taa	3	renderer-stepped	orbit	84.3	11.86	2.95	0.58	17.221	0.304	0.042	0.057	0.377	0.013	0.012	0.039	5.000010	11603	1935/326b/12c	156	1818	2df7e06e42ebdece	groundcover_scatter
dugout	fsr-native-aa	1	renderer-stepped	orbit	82.8	12.07	3.23	0.56	16.676	0.304	0.043	0.048	0.379	0.219	0.014	0.039	5.000010	11603	1935/326b/12c	156	1818	2df7e06e42ebdece	taa,groundcover_scatter
dugout	fsr-native-aa	2	renderer-stepped	orbit	80.2	12.48	3.01	0.59	17.421	0.304	0.042	0.049	0.392	0.579	0.015	0.040	5.000010	11603	1935/326b/12c	156	1818	2df7e06e42ebdece	taa,groundcover_scatter
dugout	fsr-native-aa	3	renderer-stepped	orbit	83.5	11.98	3.26	0.56	15.953	0.302	0.042	0.069	0.379	0.474	0.016	0.040	5.000010	11603	1935/326b/12c	156	1818	2df7e06e42ebdece	taa,groundcover_scatter
dugout	fsr-quality	1	renderer-stepped	orbit	84.4	11.85	2.76	0.58	11.565	0.151	0.024	0.026	0.211	0.174	0.013	0.033	5.000010	11603	1935/326b/12c	156	1818	2df7e06e42ebdece	taa,groundcover_scatter
dugout	fsr-quality	2	renderer-stepped	orbit	84.3	11.86	2.38	0.61	11.224	0.153	0.022	0.026	0.212	0.166	0.013	0.032	5.000010	11603	1935/326b/12c	156	1818	2df7e06e42ebdece	taa,groundcover_scatter
dugout	fsr-quality	3	renderer-stepped	orbit	86.7	11.53	2.72	0.57	11.639	0.152	0.023	0.026	0.211	0.206	0.013	0.033	5.000010	11603	1935/326b/12c	156	1818	2df7e06e42ebdece	taa,groundcover_scatter
dugout	fsr-balanced	1	renderer-stepped	orbit	105.8	9.45	0.73	0.57	7.352	0.123	0.018	0.022	0.169	0.160	0.013	0.031	5.000010	11603	1935/326b/12c	156	1818	2df7e06e42ebdece	taa,groundcover_scatter
dugout	fsr-balanced	2	renderer-stepped	orbit	105.2	9.50	0.88	0.58	8.001	0.122	0.018	0.022	0.180	0.167	0.013	0.031	5.000010	11603	1935/326b/12c	156	1818	2df7e06e42ebdece	taa,groundcover_scatter
dugout	fsr-balanced	3	renderer-stepped	orbit	105.5	9.48	0.75	0.56	7.856	0.125	0.018	0.022	0.170	0.158	0.014	0.031	5.000010	11603	1935/326b/12c	156	1818	2df7e06e42ebdece	taa,groundcover_scatter
dugout	fsr-performance	1	renderer-stepped	orbit	109.9	9.10	0.34	0.56	5.906	0.099	0.015	0.016	0.139	0.209	0.014	0.030	5.000010	11603	1935/326b/12c	156	1818	2df7e06e42ebdece	taa,groundcover_scatter
dugout	fsr-performance	2	renderer-stepped	orbit	112.8	8.86	0.30	0.57	5.566	0.099	0.015	0.017	0.141	0.155	0.013	0.030	5.000010	11603	1935/326b/12c	156	1818	2df7e06e42ebdece	taa,groundcover_scatter
dugout	fsr-performance	3	renderer-stepped	orbit	111.7	8.96	0.26	0.56	5.375	0.100	0.015	0.017	0.138	0.148	0.013	0.030	5.000010	11603	1935/326b/12c	156	1818	2df7e06e42ebdece	taa,groundcover_scatter
