sample	main_ms	opaque_ms	blended_ms	water_ms	gc_models_ms	gc_blades_ms
252	65.949	61.597	3.840	0.000	0.000	0.000
253	66.831	62.203	3.540	0.000	0.000	0.000
254	66.260	62.070	3.639	0.000	0.000	0.000
255	66.428	62.260	3.758	0.000	0.000	0.000
256	65.955	62.132	3.267	0.000	0.000	0.000
257	64.809	60.510	3.708	0.000	0.000	0.000
258	66.223	62.435	3.232	0.000	0.000	0.000
259	64.634	60.931	3.683	0.000	0.000	0.000
260	64.265	60.822	3.226	0.000	0.000	0.000
261	64.899	61.171	3.508	0.000	0.000	0.000
262	64.108	60.086	3.644	0.000	0.000	0.000
263	64.523	61.000	3.300	0.000	0.000	0.000
264	64.280	60.209	3.775	0.000	0.000	0.000
265	65.503	61.383	3.526	0.000	0.000	0.000
266	64.979	60.951	3.425	0.000	0.000	0.000
267	63.309	59.264	3.424	0.000	0.000	0.000
268	64.972	60.984	3.375	0.000	0.000	0.000
269	65.451	61.372	3.596	0.000	0.000	0.000
270	65.677	61.591	3.463	0.000	0.000	0.000
271	65.798	61.855	3.382	0.000	0.000	0.000
272	65.769	61.974	3.341	0.000	0.000	0.000
273	65.779	61.735	3.629	0.000	0.000	0.000
274	65.621	62.087	3.053	0.000	0.000	0.000
275	66.055	62.134	3.437	0.000	0.000	0.000
276	65.977	62.077	3.336	0.000	0.000	0.000
277	66.589	62.667	3.350	0.000	0.000	0.000
278	65.954	61.801	3.586	0.000	0.000	0.000
279	66.778	62.941	3.350	0.000	0.000	0.000
280	66.458	62.801	3.640	0.000	0.000	0.000
281	66.553	62.797	3.188	0.000	0.000	0.000
282	66.473	62.531	3.407	0.000	0.000	0.000
283	65.849	61.497	3.959	0.000	0.000	0.000
284	65.857	62.036	3.618	0.000	0.000	0.000
285	65.841	61.994	3.653	0.000	0.000	0.000
286	66.502	62.515	3.422	0.000	0.000	0.000
287	66.340	62.319	3.554	0.000	0.000	0.000
288	66.651	62.697	3.451	0.000	0.000	0.000
289	66.975	63.106	3.646	0.000	0.000	0.000
290	67.109	63.057	3.751	0.000	0.000	0.000
291	67.254	63.145	3.812	0.000	0.000	0.000
292	66.904	62.959	3.656	0.000	0.000	0.000
293	67.174	63.366	3.790	0.000	0.000	0.000
294	67.234	63.069	3.943	0.000	0.000	0.000
295	66.535	62.691	3.481	0.000	0.000	0.000
296	66.931	62.575	3.836	0.000	0.000	0.000
297	66.207	62.376	3.681	0.000	0.000	0.000
298	66.714	63.028	3.226	0.000	0.000	0.000
299	66.881	62.990	3.393	0.000	0.000	0.000
300	67.070	62.388	3.937	0.000	0.000	0.000
